,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Years_Since_Join,Total_Amnt_Spend,No_of_Childrens,Is_Parent,Memebers_In_Family,Total_Purchase,labels
0,2,0,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,67,12,1617,0,0,1,32,1
1,2,0,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,70,10,27,2,1,3,11,2
2,2,0,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,59,11,776,0,0,2,25,1
3,2,0,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,40,10,53,1,1,3,14,2
4,4,1,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,43,10,422,1,1,3,24,0
5,3,0,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,57,11,716,1,1,3,28,2
6,2,0,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,53,12,590,1,1,2,27,2
7,4,1,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,39,11,169,1,1,3,18,0
8,4,0,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,50,11,46,1,1,3,15,2
9,4,0,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,74,10,49,2,1,4,22,2
10,2,1,52357.791543756146,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,41,11,19,1,1,3,11,0
11,1,1,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,48,12,61,0,0,2,14,3
12,2,0,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,65,11,1102,0,0,1,18,1
13,3,0,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,72,11,310,2,1,3,21,2
